id,nome,regiao,umidade,velocidade_vento,temperatura,nivel_fumaca,nivel_risco,data_medicao,latitude,longitude,estado
37,Foco #37,Cerrado,34,25,36.2,32,medio,2025-03-10 00:00:00+00,-60416,-446304,MARANHÃO
38,Foco #38,Cerrado,39,14.8,41.8,63,medio,2025-03-10 00:00:00+00,-58655,-434214,MARANHÃO
39,Foco #39,Cerrado,44,10.3,39.3,66,critico,2025-03-10 00:00:00+00,-79137,-435369,PIAUÍ
40,Foco #40,Caatinga,55,7.9,43.7,47,alto,2025-03-10 00:00:00+00,-11144,-434082,BAHIA
41,Foco #41,Cerrado,33,23.2,41.6,52,medio,2025-03-10 00:00:00+00,-56548,-439244,MARANHÃO
42,Foco #42,Amazônia,24,20.2,43.8,98,critico,2025-03-10 00:00:00+00,-45898,-465012,MARANHÃO
43,Foco #43,Cerrado,28,21.8,38.4,77,alto,2025-03-10 00:00:00+00,-56176,-439041,MARANHÃO
44,Foco #44,Caatinga,44,10.4,35.4,72,alto,2025-03-10 00:00:00+00,-99369,-437422,PIAUÍ
45,Foco #45,Cerrado,42,11.8,39,98,critico,2025-03-10 00:00:00+00,-78948,-435389,PIAUÍ
46,Foco #46,Amazônia,33,24.2,30.3,52,baixo,2025-03-10 00:00:00+00,15103,-558259,PARÁ
47,Foco #47,Caatinga,35,10.4,34.6,86,critico,2025-03-10 00:00:00+00,-99182,-437212,PIAUÍ
48,Foco #48,Cerrado,49,24.4,38,75,baixo,2025-03-10 00:00:00+00,-149599,-475274,GOIÁS
49,Foco #49,Cerrado,48,10.7,30.4,53,critico,2025-03-10 00:00:00+00,-62408,-453424,MARANHÃO
50,Foco #50,Cerrado,37,6.7,39.4,64,alto,2025-03-10 00:00:00+00,-126135,-469499,TOCANTINS
51,Foco #51,Amazônia,31,15.5,34.8,66,critico,2025-03-10 00:00:00+00,-46505,-457853,MARANHÃO
52,Foco #52,Cerrado,21,20.4,43.4,96,medio,2025-03-10 00:00:00+00,-108608,-466715,TOCANTINS
53,Foco #53,Cerrado,34,24.1,37.9,92,alto,2025-03-10 00:00:00+00,-7914,-435135,PIAUÍ
54,Foco #54,Amazônia,22,22.4,42.9,35,medio,2025-03-10 00:00:00+00,-86138,-54976,PARÁ
55,Foco #55,Cerrado,45,19.1,34.1,34,baixo,2025-03-10 00:00:00+00,-56363,-439027,MARANHÃO
56,Foco #56,Caatinga,45,7.5,32.8,76,baixo,2025-03-10 00:00:00+00,-111444,-433845,BAHIA
57,Foco #57,Caatinga,46,16.9,33.4,73,critico,2025-03-10 00:00:00+00,-99175,-437682,PIAUÍ
58,Foco #58,Cerrado,28,6.3,43.2,66,medio,2025-03-10 00:00:00+00,-62594,-453636,MARANHÃO
59,Foco #59,Caatinga,28,9.7,42.2,87,baixo,2025-03-10 00:00:00+00,-111248,-434111,BAHIA
60,Foco #60,Amazônia,41,8.2,38.9,95,alto,2025-03-10 00:00:00+00,-4669,-458066,MARANHÃO
61,Foco #61,Cerrado,35,13.4,44.6,50,baixo,2025-03-10 00:00:00+00,-186837,-47823,MINAS GERAIS
62,Foco #62,Cerrado,46,22.8,33.4,82,medio,2025-03-10 00:00:00+00,-108611,-46649,TOCANTINS
63,Foco #63,Cerrado,43,14.1,43,89,baixo,2025-03-10 00:00:00+00,-72576,-484915,TOCANTINS
64,Foco #64,Cerrado,46,23.7,44,53,critico,2025-03-10 00:00:00+00,-137769,-475392,GOIÁS
65,Foco #65,Caatinga,35,18.4,39.4,94,alto,2025-03-10 00:00:00+00,-77557,-425885,PIAUÍ
66,Foco #66,Caatinga,32,19.6,35.4,37,baixo,2025-03-10 00:00:00+00,-77743,-426103,PIAUÍ
67,Foco #67,Caatinga,21,22.4,31.3,38,critico,2025-03-10 00:00:00+00,-7756,-425648,PIAUÍ
68,Foco #68,Caatinga,49,7.5,40.1,31,baixo,2025-03-10 00:00:00+00,-77554,-426123,PIAUÍ
69,Foco #69,Caatinga,31,23,32.3,56,medio,2025-03-10 00:00:00+00,-77749,-425628,PIAUÍ
70,Foco #70,Caatinga,58,7.5,40,42,baixo,2025-03-10 00:00:00+00,-77938,-425607,PIAUÍ
71,Foco #71,Caatinga,47,16.2,39.9,79,medio,2025-03-10 00:00:00+00,-77746,-425865,PIAUÍ
72,Foco #72,Cerrado,60,11.8,43.9,54,medio,2025-03-10 00:10:00+00,-60416,-446304,MARANHÃO
73,Foco #73,Amazônia,25,19.4,38.5,58,alto,2025-03-10 00:10:00+00,-46505,-457853,MARANHÃO
74,Foco #74,Cerrado,34,21,44.7,62,alto,2025-03-10 00:10:00+00,-58469,-433995,MARANHÃO
75,Foco #75,Cerrado,32,21.4,42.5,73,medio,2025-03-10 00:10:00+00,-78951,-435155,PIAUÍ
76,Foco #76,Amazônia,35,23.9,32.4,80,medio,2025-03-10 00:10:00+00,-53665,-472063,MARANHÃO
77,Foco #77,Cerrado,27,9.7,35.6,57,medio,2025-03-10 00:10:00+00,-72576,-484915,TOCANTINS
78,Foco #78,Cerrado,52,13.7,33.9,80,critico,2025-03-10 00:10:00+00,-149538,-468931,GOIÁS
79,Foco #79,Cerrado,21,14.3,40.6,78,alto,2025-03-10 00:10:00+00,-60605,-446061,MARANHÃO
80,Foco #80,Amazônia,44,12.2,31.8,45,alto,2025-03-10 00:10:00+00,-53851,-472052,MARANHÃO
81,Foco #81,Cerrado,55,15.1,40.5,75,alto,2025-03-10 00:10:00+00,-7914,-435135,PIAUÍ
82,Foco #82,Cerrado,35,21.9,43.5,35,critico,2025-03-10 00:10:00+00,-131345,-47882,TOCANTINS
83,Foco #83,Caatinga,33,24.5,34.8,75,baixo,2025-03-10 00:10:00+00,-111444,-433845,BAHIA
84,Foco #84,Cerrado,36,21.9,37.5,37,alto,2025-03-10 00:10:00+00,-149342,-468965,GOIÁS
85,Foco #85,Cerrado,46,17.8,42.6,94,critico,2025-03-10 00:10:00+00,-149408,-47508,GOIÁS
86,Foco #86,Amazônia,21,23.3,39.3,80,alto,2025-03-10 00:10:00+00,-86324,-549747,PARÁ
87,Foco #87,Caatinga,25,16.8,31,60,critico,2025-03-10 00:10:00+00,-99369,-437422,PIAUÍ
88,Foco #88,Cerrado,54,24.7,42.2,45,baixo,2025-03-10 00:10:00+00,-72578,-484699,TOCANTINS
89,Foco #89,Cerrado,29,11.8,42.8,74,medio,2025-03-10 00:10:00+00,-56361,-439258,MARANHÃO
90,Foco #90,Cerrado,37,14.4,30.1,88,medio,2025-03-10 00:10:00+00,-186837,-47823,MINAS GERAIS
91,Foco #91,Cerrado,45,23.7,34.5,69,medio,2025-03-10 00:10:00+00,-58655,-434214,MARANHÃO
92,Foco #92,Cerrado,31,5.2,40.8,60,critico,2025-03-10 00:10:00+00,-78948,-435389,PIAUÍ
93,Foco #93,Amazônia,31,20.9,32.4,67,medio,2025-03-10 00:10:00+00,-86138,-54976,PARÁ
94,Foco #94,Cerrado,47,23.6,44.6,50,medio,2025-03-10 00:10:00+00,-56174,-439272,MARANHÃO
95,Foco #95,Pantanal,48,21,33.4,32,alto,2025-03-10 00:10:00+00,-178617,-576024,MATO GROSSO DO SUL
96,Foco #96,Cerrado,45,12.8,34.3,64,baixo,2025-03-10 00:10:00+00,-62408,-453424,MARANHÃO
97,Foco #97,Cerrado,49,8.5,39.8,74,alto,2025-03-10 00:10:00+00,-149132,-469684,GOIÁS
98,Foco #98,Cerrado,50,12.8,33.8,88,alto,2025-03-10 00:10:00+00,-79137,-435369,PIAUÍ
99,Foco #99,Cerrado,44,14.3,43.9,67,critico,2025-03-10 00:10:00+00,-149403,-475307,GOIÁS
100,Foco #100,Caatinga,42,8.3,36.9,81,medio,2025-03-10 00:10:00+00,-99178,-437447,PIAUÍ
101,Foco #101,Amazônia,53,16.5,38.7,52,medio,2025-03-10 00:10:00+00,-4669,-458066,MARANHÃO
102,Foco #102,Caatinga,42,21.7,33.2,58,alto,2025-03-10 00:10:00+00,-99365,-437657,PIAUÍ
103,Foco #103,Cerrado,54,9.6,33.1,37,baixo,2025-03-10 00:10:00+00,-62406,-45365,MARANHÃO
104,Foco #104,Caatinga,30,8.7,38,87,medio,2025-03-10 00:10:00+00,-11144,-434082,BAHIA
105,Foco #105,Caatinga,57,17.7,41,95,alto,2025-03-10 00:10:00+00,-99182,-437212,PIAUÍ
106,Foco #106,Cerrado,31,16,36.1,31,baixo,2025-03-10 00:10:00+00,-137666,-480777,GOIÁS
107,Foco #107,Cerrado,48,22.4,45,72,baixo,2025-03-10 00:10:00+00,-126131,-469725,TOCANTINS
108,Foco #108,Cerrado,21,13.8,42.4,39,alto,2025-03-10 00:10:00+00,-62596,-45341,MARANHÃO
109,Foco #109,Caatinga,48,25,38.7,38,alto,2025-03-10 00:10:00+00,-99175,-437682,PIAUÍ
110,Foco #110,Cerrado,47,12.3,39.4,55,baixo,2025-03-10 00:10:00+00,-60418,-446076,MARANHÃO
111,Foco #111,Amazônia,29,17.3,34.5,56,alto,2025-03-10 00:10:00+00,-86139,-549558,PARÁ
112,Foco #112,Amazônia,40,13.4,44.3,65,alto,2025-03-10 00:10:00+00,15103,-558259,PARÁ
113,Foco #113,Cerrado,43,13.3,38.3,78,baixo,2025-03-10 00:10:00+00,-126327,-469471,TOCANTINS
114,Foco #114,Caatinga,35,8.7,39.6,98,baixo,2025-03-10 00:10:00+00,-151839,-43625,MINAS GERAIS
115,Foco #115,Amazônia,39,24.5,42.3,89,critico,2025-03-10 00:10:00+00,-65201,-495753,PARÁ
116,Foco #116,Cerrado,60,21.4,36,66,critico,2025-03-10 00:10:00+00,-14905,-483003,GOIÁS
117,Foco #117,Cerrado,29,20.8,43.1,41,medio,2025-03-10 00:10:00+00,-62594,-453636,MARANHÃO
118,Foco #118,Amazônia,23,20,37.8,46,alto,2025-03-10 00:10:00+00,-46504,-458077,MARANHÃO
119,Foco #119,Cerrado,29,14.8,42.9,55,medio,2025-03-10 00:10:00+00,-126135,-469499,TOCANTINS
120,Foco #120,Amazônia,35,21.3,44.1,48,critico,2025-03-10 00:10:00+00,-46692,-457842,MARANHÃO
121,Foco #121,Amazônia,38,18.5,41.5,100,baixo,2025-03-10 00:10:00+00,-39331,-475655,PARÁ
122,Foco #122,Cerrado,44,22,42.3,77,medio,2025-03-10 00:10:00+00,-137769,-475392,GOIÁS
123,Foco #123,Cerrado,45,14.7,31.9,35,medio,2025-03-10 00:10:00+00,-58657,-433981,MARANHÃO
124,Foco #124,Amazônia,44,19.5,36.1,67,medio,2025-03-10 00:10:00+00,-53849,-472271,MARANHÃO
125,Foco #125,Cerrado,29,11.5,32.8,75,baixo,2025-03-10 00:10:00+00,-56363,-439027,MARANHÃO
126,Foco #126,Cerrado,54,17.3,43,62,critico,2025-03-10 00:10:00+00,-56176,-439041,MARANHÃO
127,Foco #127,Cerrado,39,22.6,34.6,65,medio,2025-03-10 00:10:00+00,-108608,-466715,TOCANTINS
128,Foco #128,Cerrado,60,22.9,41.8,67,baixo,2025-03-10 00:10:00+00,-126323,-469697,TOCANTINS
129,Foco #129,Cerrado,43,20.1,32,62,alto,2025-03-10 00:10:00+00,-62221,-453439,MARANHÃO
130,Foco #130,Pantanal,53,15.2,33.9,73,critico,2025-03-10 00:10:00+00,-178614,-57623,MATO GROSSO DO SUL
131,Foco #131,Cerrado,40,23.2,31.3,36,baixo,2025-03-10 00:10:00+00,-77125,-462082,MARANHÃO
132,Foco #132,Cerrado,50,5.4,43.6,60,baixo,2025-03-10 00:10:00+00,-60603,-44629,MARANHÃO
133,Foco #133,Amazônia,36,14.6,44.5,59,critico,2025-03-10 00:10:00+00,-45712,-465022,MARANHÃO
134,Foco #134,Caatinga,54,7.3,42.3,42,baixo,2025-03-10 00:10:00+00,-7756,-425648,PIAUÍ
135,Foco #135,Caatinga,55,9.9,32.8,99,medio,2025-03-10 00:10:00+00,-77749,-425628,PIAUÍ
136,Foco #136,Caatinga,46,15.8,30.7,95,alto,2025-03-10 00:10:00+00,-77554,-426123,PIAUÍ
137,Foco #137,Caatinga,48,14.8,41.4,33,baixo,2025-03-10 00:10:00+00,-77743,-426103,PIAUÍ
138,Foco #138,Caatinga,57,16.3,40.4,88,alto,2025-03-10 00:10:00+00,-77746,-425865,PIAUÍ
139,Foco #139,Caatinga,46,20.9,41.8,76,critico,2025-03-10 00:10:00+00,-77557,-425885,PIAUÍ
140,Foco #140,Caatinga,32,10,30.9,44,alto,2025-03-10 00:10:00+00,-77938,-425607,PIAUÍ
141,Foco #141,Amazônia,42,5.5,42.7,54,medio,2025-03-10 00:20:00+00,-46505,-457853,MARANHÃO
142,Foco #142,Amazônia,45,23.9,36.2,56,alto,2025-03-10 00:20:00+00,-39331,-475655,PARÁ
143,Foco #143,Cerrado,52,22.7,44.9,54,alto,2025-03-10 00:20:00+00,-60603,-44629,MARANHÃO
144,Foco #144,Amazônia,41,23.4,42,92,medio,2025-03-10 00:20:00+00,-46878,-457832,MARANHÃO
145,Foco #145,Caatinga,33,10.5,34.3,51,medio,2025-03-10 00:20:00+00,-77746,-425865,PIAUÍ
146,Foco #146,Cerrado,39,9.7,39.7,42,critico,2025-03-10 00:20:00+00,-131345,-47882,TOCANTINS
147,Foco #147,Cerrado,20,16.8,42.5,52,medio,2025-03-10 00:20:00+00,-56176,-439041,MARANHÃO
148,Foco #148,Amazônia,60,5,39.8,85,critico,2025-03-10 00:20:00+00,-53663,-472283,MARANHÃO
149,Foco #149,Cerrado,31,7.2,44.1,67,baixo,2025-03-10 00:20:00+00,-140323,-538895,MATO GROSSO
150,Foco #150,Caatinga,42,12.9,39.1,82,medio,2025-03-10 00:20:00+00,-111444,-433845,BAHIA
151,Foco #151,Caatinga,56,15.4,40.9,56,critico,2025-03-10 00:20:00+00,-77743,-426103,PIAUÍ
152,Foco #152,Caatinga,20,24.2,41.1,38,baixo,2025-03-10 00:20:00+00,-99182,-437212,PIAUÍ
153,Foco #153,Cerrado,41,5.8,44.7,46,alto,2025-03-10 00:20:00+00,-149403,-475307,GOIÁS
154,Foco #154,Cerrado,53,22.6,37.1,96,medio,2025-03-10 00:20:00+00,-186837,-47823,MINAS GERAIS
155,Foco #155,Amazônia,50,18.9,31.7,69,critico,2025-03-10 00:20:00+00,-53849,-472271,MARANHÃO
156,Foco #156,Cerrado,51,13.1,43.2,90,alto,2025-03-10 00:20:00+00,-149132,-469684,GOIÁS
157,Foco #157,Cerrado,24,14.8,40.5,78,critico,2025-03-10 00:20:00+00,-101759,-454906,PIAUÍ
158,Foco #158,Cerrado,20,8.5,40.2,37,alto,2025-03-10 00:20:00+00,-126323,-469697,TOCANTINS
159,Foco #159,Cerrado,25,18.4,40.4,88,critico,2025-03-10 00:20:00+00,-60605,-446061,MARANHÃO
160,Foco #160,Cerrado,27,17.6,39.4,68,baixo,2025-03-10 00:20:00+00,-131349,-478597,TOCANTINS
161,Foco #161,Cerrado,55,21.1,31.3,97,alto,2025-03-10 00:20:00+00,-149342,-468965,GOIÁS
162,Foco #162,Cerrado,22,24,42.9,59,baixo,2025-03-10 00:20:00+00,-14905,-483003,GOIÁS
163,Foco #163,Cerrado,40,9.6,37.8,38,alto,2025-03-10 00:20:00+00,-126327,-469471,TOCANTINS
164,Foco #164,Amazônia,32,10.4,38,59,medio,2025-03-10 00:20:00+00,-45712,-465022,MARANHÃO
165,Foco #165,Cerrado,56,23.9,31,85,medio,2025-03-10 00:20:00+00,-149538,-468931,GOIÁS
166,Foco #166,Cerrado,21,12.8,39.1,95,critico,2025-03-10 00:20:00+00,-149408,-47508,GOIÁS
167,Foco #167,Cerrado,23,14.9,32.9,58,alto,2025-03-10 00:20:00+00,-60418,-446076,MARANHÃO
168,Foco #168,Mata Atlântica,55,21.2,39.6,52,critico,2025-03-10 00:20:00+00,-102762,-363327,ALAGOAS
169,Foco #169,Cerrado,56,16.7,31.5,62,alto,2025-03-10 00:20:00+00,-72578,-484699,TOCANTINS
170,Foco #170,Cerrado,58,8.1,43,50,critico,2025-03-10 00:20:00+00,-62408,-453424,MARANHÃO
171,Foco #171,Cerrado,38,20.6,37.9,33,alto,2025-03-10 00:20:00+00,-56174,-439272,MARANHÃO
172,Foco #172,Caatinga,32,15.7,44.7,66,critico,2025-03-10 00:20:00+00,-11144,-434082,BAHIA
173,Foco #173,Cerrado,54,13.1,40.2,97,alto,2025-03-10 00:20:00+00,-137666,-480777,GOIÁS
174,Foco #174,Caatinga,51,18.9,37.3,53,baixo,2025-03-10 00:20:00+00,-99365,-437657,PIAUÍ
175,Foco #175,Cerrado,52,18.3,31.5,40,alto,2025-03-10 00:20:00+00,-148937,-469718,GOIÁS
176,Foco #176,Mata Atlântica,54,22.1,40.7,34,medio,2025-03-10 00:20:00+00,-102569,-363362,ALAGOAS
177,Foco #177,Cerrado,56,12.6,39.8,88,critico,2025-03-10 00:20:00+00,-79137,-435369,PIAUÍ
178,Foco #178,Amazônia,60,22.2,44.5,95,baixo,2025-03-10 00:20:00+00,-86139,-549558,PARÁ
179,Foco #179,Amazônia,20,11.5,44.6,89,baixo,2025-03-10 00:20:00+00,-46692,-457842,MARANHÃO
180,Foco #180,Amazônia,56,15.4,31.8,90,medio,2025-03-10 00:20:00+00,-46504,-458077,MARANHÃO
181,Foco #181,Cerrado,36,18.1,35.4,46,baixo,2025-03-10 00:20:00+00,-184118,-507824,GOIÁS
182,Foco #182,Caatinga,28,11.9,41.1,92,critico,2025-03-10 00:20:00+00,-77557,-425885,PIAUÍ
183,Foco #183,Cerrado,46,14.6,41.8,84,medio,2025-03-10 00:20:00+00,-137769,-475392,GOIÁS
184,Foco #184,Cerrado,57,24,36.5,80,medio,2025-03-10 00:20:00+00,-60416,-446304,MARANHÃO
185,Foco #185,Mata Atlântica,60,17.7,33.7,61,alto,2025-03-10 00:20:00+00,-102564,-363633,ALAGOAS
186,Foco #186,Caatinga,32,22,39.1,56,baixo,2025-03-10 00:20:00+00,-77938,-425607,PIAUÍ
187,Foco #187,Cerrado,36,7.6,32.6,61,critico,2025-03-10 00:20:00+00,-58469,-433995,MARANHÃO
188,Foco #188,Amazônia,31,23.6,33.6,52,medio,2025-03-10 00:20:00+00,-53665,-472063,MARANHÃO
189,Foco #189,Amazônia,36,7.1,43.4,76,alto,2025-03-10 00:20:00+00,-4669,-458066,MARANHÃO
190,Foco #190,Caatinga,60,7.8,32.4,57,baixo,2025-03-10 00:20:00+00,-99369,-437422,PIAUÍ
191,Foco #191,Cerrado,26,21,41.8,99,medio,2025-03-10 00:20:00+00,-78951,-435155,PIAUÍ
192,Foco #192,Caatinga,40,13,34.7,30,medio,2025-03-10 00:20:00+00,-77749,-425628,PIAUÍ
193,Foco #193,Cerrado,50,7,37.7,99,baixo,2025-03-10 00:20:00+00,-62406,-45365,MARANHÃO
194,Foco #194,Cerrado,56,16.9,40.7,64,medio,2025-03-10 00:20:00+00,-56363,-439027,MARANHÃO
195,Foco #195,Amazônia,37,5.5,34.9,50,critico,2025-03-10 00:20:00+00,-46877,-458056,MARANHÃO
196,Foco #196,Amazônia,58,13.4,39.6,76,alto,2025-03-10 00:20:00+00,15103,-558259,PARÁ
197,Foco #197,Cerrado,44,14.9,39.3,80,alto,2025-03-10 00:20:00+00,-7914,-435135,PIAUÍ
198,Foco #198,Cerrado,48,24.9,43.4,99,medio,2025-03-10 00:20:00+00,-78948,-435389,PIAUÍ
199,Foco #199,Caatinga,59,18.7,42.5,65,critico,2025-03-10 00:20:00+00,-7756,-425648,PIAUÍ
200,Foco #200,Amazônia,54,14,36.9,60,baixo,2025-03-10 00:20:00+00,-86324,-549747,PARÁ
201,Foco #201,Cerrado,54,24.5,40.4,57,baixo,2025-03-10 00:20:00+00,-58657,-433981,MARANHÃO
202,Foco #202,Amazônia,25,15.8,40.1,38,critico,2025-03-10 00:20:00+00,-86138,-54976,PARÁ
203,Foco #203,Cerrado,39,15.8,34,32,baixo,2025-03-10 00:20:00+00,-126131,-469725,TOCANTINS
204,Foco #204,Caatinga,52,23.9,39.3,77,medio,2025-03-10 00:20:00+00,-38384,-415729,PIAUÍ
205,Foco #205,Caatinga,34,16.1,42,80,alto,2025-03-10 00:20:00+00,-99175,-437682,PIAUÍ
206,Foco #206,Cerrado,38,24.9,36.1,48,baixo,2025-03-10 00:20:00+00,-56361,-439258,MARANHÃO
207,Foco #207,Cerrado,28,8.6,37.9,56,critico,2025-03-10 00:20:00+00,-175956,-466648,MINAS GERAIS
208,Foco #208,Caatinga,49,18.5,44.1,81,baixo,2025-03-10 00:20:00+00,-111631,-434054,BAHIA
209,Foco #209,Cerrado,39,23.1,42.5,88,baixo,2025-03-10 00:20:00+00,-58655,-434214,MARANHÃO
210,Foco #210,Amazônia,44,20,36.4,51,critico,2025-03-10 00:20:00+00,-53851,-472052,MARANHÃO
211,Foco #211,Cerrado,33,5.2,40.6,73,alto,2025-03-10 00:30:00+00,-127669,-449137,BAHIA
212,Foco #212,Amazônia,59,5.4,42.2,46,medio,2025-03-10 00:30:00+00,-4669,-458066,MARANHÃO
213,Foco #213,Cerrado,53,19.3,31.3,50,baixo,2025-03-10 00:30:00+00,-147531,-481238,GOIÁS
214,Foco #214,Caatinga,20,9.3,41.8,78,baixo,2025-03-10 00:30:00+00,-99175,-437682,PIAUÍ
215,Foco #215,Caatinga,31,7.2,45,100,alto,2025-03-10 00:30:00+00,-111444,-433845,BAHIA
216,Foco #216,Cerrado,41,8.5,45,61,baixo,2025-03-10 00:30:00+00,-58655,-434214,MARANHÃO
217,Foco #217,Cerrado,59,24.2,36.3,64,medio,2025-03-10 00:30:00+00,-60603,-44629,MARANHÃO
218,Foco #218,Caatinga,55,13.3,43.6,66,critico,2025-03-10 00:30:00+00,-99365,-437657,PIAUÍ
219,Foco #219,Cerrado,47,19.7,34.1,76,alto,2025-03-10 00:30:00+00,-149538,-468931,GOIÁS
220,Foco #220,Cerrado,29,16.4,36.9,46,medio,2025-03-10 00:30:00+00,-186837,-47823,MINAS GERAIS
221,Foco #221,Cerrado,31,8.2,35.3,82,alto,2025-03-10 00:30:00+00,-127673,-448904,BAHIA
222,Foco #222,Caatinga,20,7.3,39.3,99,baixo,2025-03-10 00:30:00+00,-99369,-437422,PIAUÍ
223,Foco #223,Cerrado,41,10,32.2,38,critico,2025-03-10 00:30:00+00,-58657,-433981,MARANHÃO
224,Foco #224,Amazônia,22,13.2,37.3,68,alto,2025-03-10 00:30:00+00,-53849,-472271,MARANHÃO
225,Foco #225,Caatinga,40,16.4,31.2,64,alto,2025-03-10 00:30:00+00,-99182,-437212,PIAUÍ
226,Foco #226,Caatinga,50,7.8,34.6,49,alto,2025-03-10 00:30:00+00,-7756,-425648,PIAUÍ
227,Foco #227,Cerrado,22,20.6,40.2,93,medio,2025-03-10 00:30:00+00,-60418,-446076,MARANHÃO
228,Foco #228,Cerrado,39,16.3,39.1,53,baixo,2025-03-10 00:30:00+00,-101759,-454906,PIAUÍ
229,Foco #229,Amazônia,47,13.8,30.4,61,medio,2025-03-10 00:30:00+00,-39331,-475655,PARÁ
230,Foco #230,Cerrado,43,8.3,41.6,52,alto,2025-03-10 00:30:00+00,-56176,-439041,MARANHÃO
231,Foco #231,Cerrado,20,22.1,37.6,88,alto,2025-03-10 00:30:00+00,-175956,-466648,MINAS GERAIS
232,Foco #232,Cerrado,46,11.9,30.3,62,critico,2025-03-10 00:30:00+00,-78951,-435155,PIAUÍ
